Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,FamilySize,IsAlone,FarePerPerson,AgeGroup,FareGroup
1,3,0,17.0,4,2,7.925,2,8,7,0,1.1321428571428571,1,1
0,3,0,21.773972602739725,3,1,25.4667,2,8,5,0,5.0933399999999995,3,0
0,3,0,35.898148148148145,0,2,15.2458,0,12,3,0,5.081933333333333,0,2
0,3,1,44.0,0,1,16.1,2,11,2,0,8.05,0,2
1,2,1,31.0,0,0,13.0,2,11,1,1,13.0,0,2
0,1,1,32.368090452261306,0,0,30.6958,0,11,1,1,30.6958,0,3
0,2,1,36.0,1,2,27.75,2,11,4,0,6.9375,0,0
0,3,1,4.0,3,2,27.9,2,7,6,0,4.6499999999999995,1,0
0,3,1,29.0,1,0,7.0458,2,11,2,0,3.5229,3,1
0,3,1,32.368090452261306,0,0,8.05,2,11,1,1,8.05,0,1
0,3,0,16.0,5,2,46.9,2,8,8,0,5.8625,1,3
0,3,1,22.0,0,0,8.05,2,11,1,1,8.05,3,1
1,3,0,4.0,0,2,22.025,2,8,3,0,7.341666666666666,1,0
0,2,1,33.0,0,0,12.275,2,11,1,1,12.275,0,2
0,3,1,39.0,0,0,7.925,2,11,1,1,7.925,0,1
1,2,0,29.0,0,0,10.5,2,12,1,1,10.5,3,2
1,1,0,21.773972602739725,0,0,110.8833,0,8,1,1,110.8833,3,4
0,2,1,32.368090452261306,0,0,0.0,2,11,1,1,0.0,0,4
1,1,0,35.898148148148145,0,0,79.2,0,12,1,1,79.2,0,3
1,1,0,39.0,1,0,55.9,2,12,2,0,27.95,0,3
1,1,1,52.0,0,0,30.5,2,6,1,1,30.5,2,3
0,3,1,28.0,0,0,7.7958,2,11,1,1,7.7958,3,1
0,3,1,21.0,0,0,7.925,2,11,1,1,7.925,3,1
0,2,1,60.0,1,1,39.0,2,11,3,0,13.0,2,3
1,2,0,36.0,1,0,26.0,2,12,2,0,13.0,0,0
0,2,1,24.0,0,0,13.0,2,11,1,1,13.0,3,2
1,3,0,36.0,1,0,17.4,2,12,2,0,8.7,0,2
1,1,0,49.0,1,0,76.7292,0,12,2,0,38.3646,0,3
0,3,1,9.0,4,2,31.3875,2,7,7,0,4.483928571428572,1,3
0,2,1,25.0,0,0,13.0,2,11,1,1,13.0,3,2
0,3,1,33.0,0,0,7.8958,0,11,1,1,7.8958,0,1
0,2,1,52.0,0,0,13.5,2,11,1,1,13.5,2,2
0,3,1,45.0,0,0,6.975,2,11,1,1,6.975,0,1
1,1,0,30.0,0,0,106.425,0,8,1,1,106.425,3,4
0,3,1,32.0,1,0,15.85,2,11,2,0,7.925,0,2
1,1,1,36.0,1,2,120.0,2,11,4,0,30.0,0,4
0,3,1,22.0,0,0,7.5208,2,11,1,1,7.5208,3,1
0,2,1,46.0,0,0,26.0,2,11,1,1,26.0,0,0
0,3,1,29.0,0,0,8.05,2,11,1,1,8.05,3,1
0,3,1,23.0,0,0,9.225,2,11,1,1,9.225,3,1
0,3,1,21.0,0,0,8.05,2,11,1,1,8.05,3,1
0,3,1,32.368090452261306,0,0,8.05,2,11,1,1,8.05,0,1
0,3,1,32.0,0,0,7.925,2,11,1,1,7.925,0,1
1,1,0,38.0,1,0,71.2833,0,12,2,0,35.64165,0,3
0,3,1,24.0,0,0,7.05,2,11,1,1,7.05,3,1
1,1,0,23.0,3,2,263.0,2,8,6,0,43.833333333333336,3,4
0,3,1,32.368090452261306,0,0,7.225,0,11,1,1,7.225,0,1
1,3,1,39.0,0,0,7.925,2,11,1,1,7.925,0,1
1,3,0,21.773972602739725,0,0,7.75,1,8,1,1,7.75,3,1
0,3,1,41.0,2,0,14.1083,2,11,3,0,4.702766666666666,0,2
0,1,1,62.0,0,0,26.55,2,11,1,1,26.55,2,0
1,3,1,32.368090452261306,0,0,7.775,2,11,1,1,7.775,0,1
1,3,0,14.0,1,0,11.2417,0,8,2,0,5.62085,1,2
1,3,0,30.0,0,0,12.475,2,8,1,1,12.475,3,2
0,2,1,42.0,1,0,27.0,2,11,2,0,13.5,0,0
0,3,1,14.0,5,2,46.9,2,11,8,0,5.8625,1,3
1,2,0,21.773972602739725,0,0,33.0,2,8,1,1,33.0,3,3
0,3,1,18.0,1,1,20.2125,2,11,3,0,6.7375,1,0
1,1,1,31.0,1,0,57.0,2,11,2,0,28.5,0,3
0,1,1,38.0,0,1,153.4625,2,11,2,0,76.73125,0,4
0,3,0,9.0,2,2,34.375,2,8,5,0,6.875,1,3
0,2,1,21.0,2,0,73.5,2,11,3,0,24.5,3,3
1,1,0,24.0,0,0,69.3,0,10,1,1,69.3,3,3
0,3,1,20.0,0,0,8.05,2,11,1,1,8.05,3,1
1,3,0,21.773972602739725,1,0,24.15,1,8,2,0,12.075,3,0
0,3,1,4.574166666666667,3,1,25.4667,2,7,5,0,5.0933399999999995,1,0
1,3,0,22.0,0,0,7.775,2,8,1,1,7.775,3,1
0,3,1,32.368090452261306,1,0,16.1,2,11,2,0,8.05,0,2
0,2,1,25.0,0,0,13.0,2,11,1,1,13.0,3,2
1,1,0,18.0,0,2,79.65,2,8,3,0,26.55,1,3
0,3,1,21.0,0,0,8.6625,2,11,1,1,8.6625,3,1
0,3,1,22.0,0,0,9.35,2,11,1,1,9.35,3,1
1,1,0,19.0,1,0,91.0792,0,12,2,0,45.5396,3,3
1,1,0,30.0,0,0,31.0,0,8,1,1,31.0,3,3
0,3,1,40.0,0,0,7.225,0,11,1,1,7.225,0,1
1,2,0,29.0,1,0,26.0,2,12,2,0,13.0,3,0
1,1,1,32.368090452261306,0,0,35.5,2,11,1,1,35.5,0,3
0,2,1,54.0,0,0,26.0,2,11,1,1,26.0,2,0
1,3,0,0.75,2,1,19.2583,0,8,4,0,4.814575,1,2
1,3,0,31.0,0,0,8.6833,2,12,1,1,8.6833,0,1
1,3,0,27.0,0,1,12.475,2,12,2,0,6.2375,3,2
0,3,1,25.0,0,0,7.25,2,11,1,1,7.25,3,1
0,1,1,40.0,0,0,0.0,2,11,1,1,0.0,0,4
0,3,1,26.0,1,0,7.8542,2,11,2,0,3.9271,3,1
1,1,0,44.0,0,1,57.9792,0,12,2,0,28.9896,0,3
1,1,0,22.0,0,2,49.5,0,8,3,0,16.5,3,3
1,2,1,32.368090452261306,0,0,13.8625,0,11,1,1,13.8625,0,2
1,2,0,48.0,1,2,65.0,2,12,4,0,16.25,0,3
0,3,1,22.0,0,0,7.8958,2,11,1,1,7.8958,3,1
0,3,1,17.0,1,1,7.2292,0,11,3,0,2.409733333333333,1,1
1,2,0,40.0,0,0,15.75,2,12,1,1,15.75,0,2
1,1,0,38.0,0,0,227.525,0,8,1,1,227.525,0,4
1,3,0,33.0,3,0,15.85,2,12,4,0,3.9625,0,2
0,3,1,32.368090452261306,0,0,7.225,0,11,1,1,7.225,0,1
1,3,0,4.0,0,1,13.4167,0,8,2,0,6.70835,1,2
1,3,0,24.0,1,0,15.85,2,12,2,0,7.925,3,2
0,3,1,32.368090452261306,0,0,8.05,2,11,1,1,8.05,0,1
0,3,0,31.0,1,0,18.0,2,12,2,0,9.0,0,2
0,3,1,32.368090452261306,0,0,7.2292,0,11,1,1,7.2292,0,1
1,3,0,22.0,0,0,7.75,1,8,1,1,7.75,3,1
1,2,1,0.83,1,1,18.75,2,7,3,0,6.25,1,2
0,3,0,21.773972602739725,8,2,69.55,2,8,11,0,6.322727272727272,3,3
0,3,1,19.0,0,0,7.65,2,11,1,1,7.65,3,1
1,3,1,9.0,0,2,20.525,2,7,3,0,6.841666666666666,1,0
0,2,1,30.0,1,0,24.0,0,11,2,0,12.0,3,0
0,3,1,34.5,0,0,6.4375,0,11,1,1,6.4375,0,1
1,2,0,17.0,0,0,10.5,2,8,1,1,10.5,1,2
0,3,1,36.0,0,0,0.0,2,11,1,1,0.0,0,4
1,2,0,24.0,2,1,27.0,2,12,4,0,6.75,3,0
0,3,1,51.0,0,0,7.0542,2,11,1,1,7.0542,2,1
0,3,1,33.0,0,0,9.5,2,11,1,1,9.5,0,1
1,2,0,21.773972602739725,0,0,12.35,1,8,1,1,12.35,3,2
0,3,0,18.0,0,0,6.75,1,8,1,1,6.75,1,1
0,3,0,2.0,4,2,31.275,2,8,7,0,4.4678571428571425,1,3
1,1,0,32.0,0,0,76.2917,0,8,1,1,76.2917,0,3
0,3,1,36.0,1,0,15.55,2,11,2,0,7.775,0,2
1,1,0,16.0,0,1,39.4,2,8,2,0,19.7,1,3
0,1,1,19.0,3,2,263.0,2,11,6,0,43.833333333333336,3,4
0,3,1,37.0,2,0,7.925,2,11,3,0,2.6416666666666666,0,1
1,3,0,2.0,0,1,12.2875,2,8,2,0,6.14375,1,2
0,2,1,32.368090452261306,0,0,0.0,2,11,1,1,0.0,0,4
0,3,0,9.0,1,1,15.2458,0,8,3,0,5.081933333333333,1,2
0,1,1,71.0,0,0,34.6542,0,11,1,1,34.6542,2,3
1,2,1,1.0,0,2,37.0042,0,7,3,0,12.334733333333332,1,3
1,1,0,33.0,1,0,90.0,1,8,2,0,45.0,0,3
0,1,0,2.0,1,2,151.55,2,8,4,0,37.8875,1,4
1,1,0,35.898148148148145,0,1,55.0,2,12,2,0,27.5,0,3
0,1,1,47.0,0,0,52.0,2,11,1,1,52.0,0,3
0,3,1,47.0,0,0,7.25,2,11,1,1,7.25,0,1
1,1,1,42.0,0,0,26.2875,2,11,1,1,26.2875,0,0
0,3,1,32.368090452261306,0,0,7.55,2,11,1,1,7.55,0,1
0,3,1,17.0,0,0,8.6625,2,11,1,1,8.6625,1,1
0,3,1,20.0,0,0,7.925,2,11,1,1,7.925,3,1
0,3,1,30.0,0,0,8.05,2,11,1,1,8.05,3,1
0,3,1,36.0,1,1,24.15,2,11,3,0,8.049999999999999,0,0
0,3,0,21.773972602739725,0,0,7.6292,1,8,1,1,7.6292,3,1
1,1,0,24.0,0,0,83.1583,0,8,1,1,83.1583,3,3
1,2,0,18.0,0,2,13.0,2,8,3,0,4.333333333333333,1,2
1,1,0,31.0,0,2,164.8667,2,8,3,0,54.95556666666667,0,4
0,3,1,23.5,0,0,7.2292,0,11,1,1,7.2292,3,1
0,3,1,29.0,0,0,7.875,2,11,1,1,7.875,3,1
0,1,1,32.368090452261306,0,0,50.0,2,11,1,1,50.0,0,3
0,3,1,10.0,3,2,27.9,2,7,6,0,4.6499999999999995,1,0
1,3,1,6.0,0,1,12.475,2,7,2,0,6.2375,1,2
1,3,0,4.0,1,1,16.7,2,8,3,0,5.566666666666666,1,2
1,3,1,32.0,0,0,7.925,2,11,1,1,7.925,0,1
0,3,1,16.0,1,1,20.25,2,11,3,0,6.75,1,0
0,3,1,25.0,0,0,7.05,2,11,1,1,7.05,3,1
0,3,1,29.0,0,0,9.4833,2,11,1,1,9.4833,3,1
1,2,0,24.0,0,2,14.5,2,12,3,0,4.833333333333333,3,2
0,3,1,32.368090452261306,1,0,24.15,1,11,2,0,12.075,0,0
0,3,1,18.0,0,0,7.75,2,11,1,1,7.75,1,1
0,3,0,6.0,4,2,31.275,2,8,7,0,4.4678571428571425,1,3
0,3,1,19.0,0,0,0.0,2,11,1,1,0.0,3,4
0,3,1,32.368090452261306,0,0,7.8958,2,11,1,1,7.8958,0,1
1,2,0,34.0,0,0,13.0,2,8,1,1,13.0,0,2
1,2,1,3.0,1,1,18.75,2,7,3,0,6.25,1,2
0,2,1,39.0,0,0,13.0,2,11,1,1,13.0,0,2
0,2,1,35.0,0,0,10.5,2,11,1,1,10.5,0,2
0,3,1,34.0,0,0,8.05,2,11,1,1,8.05,0,1
1,1,0,42.0,0,0,227.525,0,8,1,1,227.525,0,4
0,3,0,21.0,0,0,7.75,1,8,1,1,7.75,3,1
1,3,1,4.574166666666667,1,1,15.2458,0,7,3,0,5.081933333333333,1,2
0,2,1,43.0,1,1,26.25,2,11,3,0,8.75,0,0
1,1,1,48.0,0,0,26.55,2,11,1,1,26.55,0,0
0,3,0,39.0,0,5,29.125,1,12,6,0,4.854166666666667,0,0
0,3,1,40.5,0,2,14.5,2,11,3,0,4.833333333333333,0,2
0,3,0,35.898148148148145,1,0,14.4583,0,12,2,0,7.22915,0,2
0,2,1,29.0,1,0,27.7208,0,11,2,0,13.8604,3,0
0,2,1,32.368090452261306,0,0,0.0,2,11,1,1,0.0,0,4
0,3,1,16.0,1,3,34.375,2,11,5,0,6.875,1,3
1,1,0,63.0,1,0,77.9583,2,8,2,0,38.97915,2,3
0,1,1,50.0,1,0,55.9,2,11,2,0,27.95,0,3
1,1,1,32.368090452261306,0,0,30.5,2,11,1,1,30.5,0,3
1,2,0,28.0,0,0,12.65,2,12,1,1,12.65,3,2
0,3,0,28.0,0,0,7.8958,2,8,1,1,7.8958,3,1
0,3,1,25.0,0,0,7.65,2,11,1,1,7.65,3,1
0,3,1,32.368090452261306,0,0,7.8958,2,11,1,1,7.8958,0,1
0,2,1,36.5,0,2,26.0,2,11,3,0,8.666666666666666,0,0
0,3,1,32.368090452261306,1,0,7.75,1,11,2,0,3.875,0,1
1,3,0,13.0,0,0,7.2292,0,8,1,1,7.2292,1,1
1,2,0,41.0,0,1,19.5,2,12,2,0,9.75,0,2
0,3,0,21.0,1,0,9.825,2,8,2,0,4.9125,3,1
1,2,0,30.0,0,0,12.35,1,8,1,1,12.35,3,2
0,3,1,32.368090452261306,0,0,7.8958,2,11,1,1,7.8958,0,1
1,1,0,35.898148148148145,1,0,52.0,2,12,2,0,26.0,0,3
0,3,1,32.368090452261306,0,0,7.75,1,11,1,1,7.75,0,1
1,3,1,22.0,0,0,7.225,0,11,1,1,7.225,3,1
1,1,0,48.0,0,0,25.9292,2,12,1,1,25.9292,0,0
0,1,1,49.0,1,1,110.8833,0,11,3,0,36.9611,0,4
0,3,1,32.368090452261306,0,0,7.2292,0,11,1,1,7.2292,0,1
0,3,0,39.0,1,5,31.275,2,12,7,0,4.4678571428571425,0,3
0,3,1,9.0,5,2,46.9,2,7,8,0,5.8625,1,3
1,1,0,14.0,1,2,120.0,2,8,4,0,30.0,1,4
1,3,0,5.0,2,1,19.2583,0,8,4,0,4.814575,1,2
1,3,1,4.0,1,1,11.1333,2,7,3,0,3.7111,1,2
0,1,1,32.368090452261306,0,0,42.4,2,11,1,1,42.4,0,3
1,3,0,31.0,1,1,20.525,2,12,3,0,6.841666666666666,0,0
1,3,0,21.773972602739725,0,0,7.75,1,8,1,1,7.75,3,1
0,3,0,2.0,3,2,27.9,2,8,6,0,4.6499999999999995,1,0
0,3,1,26.0,0,0,7.775,2,11,1,1,7.775,3,1
1,1,1,49.0,1,0,56.9292,0,15,2,0,28.4646,0,3
0,1,1,40.0,0,0,27.7208,0,2,1,1,27.7208,0,0
0,3,1,17.0,1,0,7.0542,2,11,2,0,3.5271,1,1
0,3,1,32.368090452261306,0,0,6.8583,1,11,1,1,6.8583,0,1
0,3,1,32.368090452261306,0,0,7.25,2,11,1,1,7.25,0,1
0,2,1,24.0,0,0,10.5,2,11,1,1,10.5,3,2
0,2,0,24.0,0,0,13.0,2,8,1,1,13.0,3,2
0,2,1,24.0,2,0,73.5,2,11,3,0,24.5,3,3
0,2,1,36.0,0,0,10.5,2,11,1,1,10.5,0,2
0,2,1,32.368090452261306,0,0,0.0,2,11,1,1,0.0,0,4
0,2,1,19.0,0,0,10.5,2,11,1,1,10.5,3,2
0,3,1,32.368090452261306,0,0,7.225,0,11,1,1,7.225,0,1
1,1,0,35.898148148148145,1,0,89.1042,0,12,2,0,44.5521,0,3
0,1,1,42.0,1,0,52.0,2,11,2,0,26.0,0,3
0,3,1,32.368090452261306,0,0,7.25,2,11,1,1,7.25,0,1
0,1,1,61.0,0,0,33.5,2,11,1,1,33.5,2,3
0,2,1,32.368090452261306,0,0,0.0,2,11,1,1,0.0,0,4
0,3,1,32.368090452261306,0,0,8.05,2,11,1,1,8.05,0,1
0,3,1,2.0,4,1,29.125,1,7,6,0,4.854166666666667,1,0
0,3,1,32.368090452261306,0,0,8.05,2,11,1,1,8.05,0,1
0,1,1,64.0,1,4,263.0,2,11,6,0,43.833333333333336,2,4
0,3,1,7.0,4,1,29.125,1,7,6,0,4.854166666666667,1,0
0,3,1,32.368090452261306,0,0,8.05,2,11,1,1,8.05,0,1
1,3,0,21.773972602739725,0,0,7.75,1,8,1,1,7.75,3,1
1,1,1,32.368090452261306,0,0,30.0,2,11,1,1,30.0,0,0
1,2,0,32.5,0,0,13.0,2,8,1,1,13.0,0,2
0,3,0,18.0,1,0,17.8,2,12,2,0,8.9,1,2
1,3,0,21.773972602739725,0,0,7.75,1,8,1,1,7.75,3,1
0,1,1,54.0,0,1,77.2875,2,11,2,0,38.64375,2,3
0,2,1,30.0,0,0,13.0,2,11,1,1,13.0,3,2
1,3,0,16.0,0,0,7.7333,1,8,1,1,7.7333,1,1
0,2,1,31.0,1,1,37.0042,0,11,3,0,12.334733333333332,0,3
0,2,1,21.0,0,0,73.5,2,11,1,1,73.5,3,3
0,3,1,29.0,0,0,7.775,2,11,1,1,7.775,3,1
1,1,0,17.0,1,0,108.9,0,12,2,0,54.45,1,4
1,1,0,24.0,0,0,69.3,0,9,1,1,69.3,3,3
0,2,1,18.0,0,0,13.0,2,11,1,1,13.0,1,2
1,2,0,34.0,0,0,10.5,2,12,1,1,10.5,0,2
0,3,1,16.0,0,0,9.5,2,11,1,1,9.5,1,1
0,2,1,27.0,0,0,13.0,2,14,1,1,13.0,3,2
0,2,1,16.0,0,0,26.0,2,11,1,1,26.0,1,0
1,1,0,56.0,0,1,83.1583,0,12,2,0,41.57915,2,3
1,1,0,35.898148148148145,1,0,133.65,2,12,2,0,66.825,0,4
0,2,1,18.0,0,0,11.5,2,11,1,1,11.5,1,2
0,3,1,28.0,0,0,7.8958,2,11,1,1,7.8958,3,1
1,1,0,36.0,0,2,71.0,2,8,3,0,23.666666666666668,0,3
1,3,1,32.0,0,0,56.4958,2,11,1,1,56.4958,0,3
1,1,0,45.0,1,1,164.8667,2,12,3,0,54.95556666666667,0,4
1,1,0,33.0,1,0,53.1,2,12,2,0,26.55,0,3
1,1,0,41.0,0,0,134.5,0,8,1,1,134.5,0,4
